ID,Team,Country,NameF,NameL,Weight,Height,DOB,Hometown,Prov,Pos,Age,HeightFt,HtIn,BMI
56,Women,USA,Kali,Flanagan,142,5.4,19-09-1995,Burlington,Mass.,Defence,26,5.33,64,24
57,Women,USA,Nicole,Hensley,155,5.7,23-06-1994,Lakewood,Colo.,Goalie,27,5.58,67,24
58,Women,USA,Megan,Keller,160,5.11,01-05-1996,Farmington,Mich.,Defence,26,5.92,71,22
59,Women,USA,Amanda,Kessel,136,5.5,,Madison,Wis.,Forward,122,5.42,65,23
60,Women,USA,Hilary,Knight,175,5.11,12-07-1989,Sun Valley,Idaho,Forward,32,5.92,71,24
61,Women,USA,Jocelyne,Lamoureux-Davidson,150,5.6,03-07-1989,Grand Forks,N.D.,Forward,32,5.5,66,24
62,Women,USA,Monique,Lamoureux-Morando,147,5.6,03-07-1989,Grand Forks,N.D.,Forward,32,5.5,66,24
63,Women,USA,Gigi,Marvin,159,5.8,07-03-1987,Warroad,Minn.,Forward,35,5.67,68,24
64,Women,USA,Sidney,Morin,140,5.5,,Minnetonka,Minn.,Defence,122,5.42,65,23
65,Women,USA,Kelly,Pannek,165,5.8,29-12-1995,Plymouth,Minn.,Forward,26,5.67,68,25
66,Women,USA,Amanda,Pelkey,135,5.3,29-05-1993,Montpelier,Vt.,Forward,29,5.25,63,24
67,Women,USA,Emily,Pfalzer,,5.3,,Buffalo,N.Y.,Defence,122,5.25,63,0
68,Women,USA,Alex,Rigsby,150,5.7,03-01-1992,Delafield,Wis.,Goalie,30,5.58,67,23
69,Women,USA,Maddie,Rooney,,5.5,07-07-1997,Andover,Minn.,Goalie,24,5.42,65,0
70,Women,USA,Haley,Skarupa,140,5.6,03-01-1994,Rockville,Md.,Forward,28,5.5,66,23
71,Women,USA,Lee,Stecklein,175,6,,Roseville,Minn.,Defence,122,6,72,24
72,Men,USA,Mark,Arcobello,170,5.8,12-08-1988,Milford,Conn.,Forward,33,5.67,68,26
73,Men,USA,Chad,Billins,,5.1,26-05-1989,Marysville,Mich.,Defence,33,5.83,70,0
74,Men,USA,Jonathan,Blum,195,6.1,30-01-1989,Ladera Ranch,Calif.,Defence,33,6.08,73,26
75,Men,USA,Will,Borgen,195,6.2,19-12-1996,Moorhead,Minn.,Defence,25,6.17,74,25
76,Men,USA,Chris,Bourque,180,5.8,29-01-1986,North Reading,Mass.,Forward,36,5.67,68,27
77,Men,USA,Bobby,Butler,189,6,26-04-1987,Marlborough,Mass.,Forward,35,6,72,26
78,Men,USA,Ryan,Donato,196,6.1,09-04-1996,Scituate,Mass.,Forward,26,6.08,73,26
79,Men,USA,Matt,Gilroy,200,6.1,20-07-1984,Bellmore,N.Y.,Defence,37,6.08,73,26
80,Men,USA,Brian,Gionta,175,5.7,18-01-1979,Rochester,N.Y.,Forward,43,5.58,67,27
81,Men,USA,Jordan,Greenway,235,6.5,16-02-1997,Canton,N.Y.,Forward,25,6.42,77,28
82,Men,USA,Ryan,Gunderson,170,5.9,16-08-1985,Bensalem,Pa.,Defence,36,5.75,69,25
83,Men,USA,Chad,Kolarik,185,5.11,26-01-1986,Abington,Pa.,Forward,36,5.92,71,26
84,Men,USA,David,Leggio,185,6,31-07-1984,Buffalo,N.Y.,Goalie,37,6,72,25
85,Men,USA,Broc,Little,170,5.9,24-03-1988,Rindge,N.H.,Forward,34,5.75,69,25
86,Men,USA,Brandon,Maxwell,196,6.1,22-03-1991,Winter Park,Fla.,Goalie,31,6.08,73,26
87,Men,USA,John,McCarthy,195,6.1,09-08-1986,Boston,Mass.,Forward,35,6.08,73,26
88,Men,USA,Brian,O'Neill,174,5.9,01-06-1988,Yardley,Pa.,Forward,34,5.75,69,26
89,Men,USA,Garrett,Roe,178,5.9,22-02-1988,Vienna,Va.,Forward,34,5.75,69,26
90,Men,USA,Bobby,Sanguinetti,190,6.2,29-02-1988,Wilmington,N.C.,Defence,34,6.17,74,24
91,Men,USA,Jim,Slater,200,6,09-12-1982,Lapeer,Mich.,Forward,39,6,72,27
92,Men,USA,Ryan,Stoa,210,6.3,13-04-1987,Bloomington,Minn.,Forward,35,6.25,75,26
93,Men,USA,Troy,Terry,179,6,10-09-1997,Highlands Ranch,Colo.,Forward,24,6,72,24
94,Men,USA,Noah,Welch,215,6.4,26-08-1982,Brighton,Mass.,Defence,39,6.33,76,26
95,Men,USA,James,Wisniewski,205,6,21-02-1984,Canton,Mich.,Defence,38,6,72,28
96,Men,USA,Ryan,Zapolski,203,6,11-11-1986,Erie,Pa.,Goalie,35,6,72,28
